Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/recurso-detalhe/222,6,0,2,4.925084333384196,1.7415720001281443,12.255268999979307,27.0,0.02336647709830373,0.0,2,2,10,10,12,12,12,12,12,12,12
GET,/api/recurso-detalhe/223,2,0,3,9.838180999963697,2.9119809998974233,16.76438100002997,27.0,0.007788825699434576,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/recurso-detalhe/224,3,0,8,7.792960333366257,6.774403000008533,8.309261000022161,27.0,0.011683238549151865,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/225,2,0,2.0276619998185197,6.2993324999069955,2.0276619998185197,10.571002999995471,27.0,0.007788825699434576,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/227,1,0,5.775901999868438,5.775901999868438,5.775901999868438,5.775901999868438,27.0,0.003894412849717288,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/recurso-detalhe/228,2,0,7.684764000032374,7.681160500055739,7.677557000079105,7.684764000032374,27.0,0.007788825699434576,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/229,4,0,3,4.060896999931174,1.8327359998693282,7.813670999894384,27.0,0.015577651398869153,0.0,4,4,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/23,7,0,7,5.412547999964902,1.6261200000826648,9.360175999972853,25.0,0.027260889948021016,0.0,7,8,9,9,9,9,9,9,9,9,9
GET,/api/recurso-detalhe/230,4,0,2,10.59342725005763,1.7035939999914262,36.94483200001741,27.0,0.015577651398869153,0.0,2,2,37,37,37,37,37,37,37,37,37
GET,/api/recurso-detalhe/231,2,0,2,4.802038499974515,1.94537099991976,7.6587060000292695,27.0,0.007788825699434576,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/232,2,0,2.085350999777802,6.421826499945382,2.085350999777802,10.758302000112963,27.0,0.007788825699434576,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/233,2,0,8.124593000047753,9.825565000028291,8.124593000047753,11.52653700000883,27.0,0.007788825699434576,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/recurso-detalhe/234,1,0,28.053665000015826,28.053665000015826,28.053665000015826,28.053665000015826,27.0,0.003894412849717288,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/recurso-detalhe/235,2,0,7,10.447181499898761,6.643052999834254,14.251309999963269,27.0,0.007788825699434576,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/api/recurso-detalhe/236,3,0,9,7.505065000107909,2.383309000151712,11.462881000170455,27.0,0.011683238549151865,0.0,9,9,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/238,4,0,2.024615999971502,4.535905999944134,2.024615999971502,7.505781999952887,27.0,0.015577651398869153,0.0,6,6,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/239,6,0,2,3.39010716663779,1.682377999941309,6.806532999917181,27.0,0.02336647709830373,0.0,3,3,5,5,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/24,2,0,2.0345310001630423,6.293241000093985,2.0345310001630423,10.551951000024928,25.0,0.007788825699434576,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/241,2,0,2,1.9474064998803442,1.8551539999407396,2.039658999819949,27.0,0.007788825699434576,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/242,3,0,2.016885000102775,4.1788309999901685,2.016885000102775,8.342094999989058,27.0,0.011683238549151865,0.0,2,2,8,8,8,8,8,8,8,8,8
